rating,draft_year,draft_round,draft_peak,height_cm,version_split,p_age,weight_kg,salary_usd,team_Lencoded,position_Lencoded
72,2019,1,30,193.0,2020,120,98.9,1290960.0,5,6
72,2013,0,0,198.0,2020,30,97.5,2833704.0,23,2
72,2019,1,18,211.0,2020,21,113.4,2816760.0,12,0
72,2018,2,46,188.0,2020,22,86.2,1416852.0,15,5
72,2018,0,0,198.0,2020,26,95.3,1416852.0,19,6
72,2019,1,17,196.0,2020,22,93.0,2964840.0,19,5
72,2019,1,16,202.99999999999997,2020,22,104.0,2773550.0,9,3
72,2019,1,20,196.0,2020,23,91.2,2582160.0,23,6
72,2019,1,11,202.99999999999997,2020,24,95.3,4033440.0,24,2
72,2019,1,24,196.0,2020,23,88.5,2193480.0,24,5
72,2019,1,19,208.0,2020,120,94.8,2689920.0,27,2
72,2019,1,29,196.0,2020,21,95.7,1950600.0,27,2
72,2017,0,0,193.0,2020,26,89.4,898310.0,28,5
71,2017,0,0,206.0,2020,27,90.7,1588231.0,28,3
71,2018,2,32,185.0,2020,25,90.7,1416852.0,24,5
71,2016,2,31,208.0,2020,24,108.9,250000.0,9,3
71,2018,1,28,193.0,2020,23,95.3,1925880.0,18,5
71,2017,1,21,198.0,2020,22,83.5,2475840.0,21,5
71,2019,2,38,208.0,2020,22,106.1,898310.0,4,2
71,2015,0,0,196.0,2020,27,99.3,1645357.0,0,5
71,2017,2,31,191.0,2020,22,93.0,1618520.0,19,5
71,2017,0,0,218.00000000000003,2020,25,108.9,2250000.0,4,0
71,2017,2,34,180.0,2020,26,86.2,79568.0,17,5
71,2013,1,7,191.0,2020,27,85.7,2028594.0,11,5
71,2018,1,29,206.0,2020,21,88.5,1911600.0,2,2
71,2018,2,31,191.0,2020,23,86.2,1416852.0,24,5
71,2018,1,13,193.0,2020,23,86.2,3567720.0,30,5
71,2014,0,0,200.99999999999997,2020,27,101.2,1737145.0,12,2
71,2017,2,52,193.0,2020,25,84.4,2000000.0,12,5
71,2018,2,37,196.0,2020,21,94.8,1416852.0,25,5
71,2018,1,25,211.0,2020,23,108.9,2063520.0,30,2
71,2019,2,42,196.0,2020,23,109.3,1000000.0,30,2
71,2019,2,34,206.0,2020,22,111.1,1400000.0,0,2
71,2019,2,39,208.0,2020,120,97.5,898310.0,10,2
71,2019,2,41,198.0,2020,24,115.7,898310.0,10,2
71,2019,2,33,180.0,2020,22,90.7,1228026.0,1,5
71,2019,2,32,202.99999999999997,2020,21,97.5,898310.0,16,2
71,2018,2,54,196.0,2020,24,93.0,1445697.0,23,0
71,2018,2,49,206.0,2020,23,102.1,1416852.0,27,2
70,2018,2,48,202.99999999999997,2020,24,106.6,1416852.0,7,2
70,2019,1,23,202.99999999999997,2020,120,90.7,2284800.0,21,2
70,2017,1,28,208.0,2020,22,112.5,1962360.0,29,3
70,2018,2,45,196.0,2020,22,89.8,1416852.0,21,5
70,2018,2,35,196.0,2020,24,91.2,1416852.0,22,2
70,2013,1,23,198.0,2020,29,102.5,13290395.0,16,2
70,2018,2,50,200.99999999999997,2020,24,91.2,1416852.0,12,2
70,2016,1,28,208.0,2020,24,98.0,2338846.0,0,1
70,2017,1,24,206.0,2020,24,99.8,50000.0,9,3
70,2018,2,47,200.99999999999997,2020,23,93.0,1416852.0,8,5
70,2017,0,0,202.99999999999997,2020,25,104.3,79568.0,13,2
70,2016,2,58,196.0,2020,27,102.1,1618520.0,21,2
70,2012,1,26,211.0,2020,32,115.7,12500000.0,9,3
70,2017,1,26,206.0,2020,23,112.9,2033160.0,25,0
70,2018,2,41,206.0,2020,21,97.1,1416852.0,18,2
70,2018,0,0,196.0,2020,25,91.2,195077.0,9,2
70,2019,1,28,193.0,2020,21,88.0,1964760.0,10,5
70,2019,2,46,193.0,2020,120,106.1,898310.0,14,5
70,2018,0,0,202.99999999999997,2020,24,108.9,100000.0,9,3
70,2014,2,51,198.0,2020,28,97.5,1445697.0,17,2
70,2019,0,0,206.0,2020,21,112.9,898310.0,18,0
70,2019,2,47,198.0,2020,21,98.0,898310.0,20,2
70,2014,0,0,193.0,2020,29,108.9,1416852.0,21,5
70,2019,2,40,200.99999999999997,2020,23,86.2,898310.0,26,5
69,2016,1,18,208.0,2020,23,109.8,79568.0,9,3
69,2018,2,34,185.0,2020,25,83.9,1416852.0,3,5
69,2017,0,0,206.0,2020,27,101.6,1529007.0,9,3
